#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         245   -0.437691   -0.445193 0.000491485
         246   -0.429161   -0.445128 0.000493789
         247   -0.449024   -0.445143 0.000492042
         248   -0.446694    -0.44515 0.000490097
         249   -0.455564   -0.445191  0.00048991
         250   -0.439504   -0.445169 0.000488479
         251   -0.445818   -0.445171 0.000486539
         252   -0.443721   -0.445165 0.000484643
         253   -0.429212   -0.445102 0.000486812
         254   -0.432619   -0.445053  0.00048737
         255   -0.436323   -0.445019  0.00048666
         256   -0.437643    -0.44499 0.000485611
         257   -0.450961   -0.445013 0.000484277
         258   -0.454673   -0.445051 0.000483845
         259   -0.430959   -0.444996 0.000485026
         260   -0.426885   -0.444927 0.000488138
         261   -0.445754    -0.44493 0.000486278
         262   -0.451507   -0.444955 0.000485069
         263   -0.433736   -0.444912 0.000485097
         264   -0.443635   -0.444908 0.000483284
         265   -0.442156   -0.444897 0.000481571
         266   -0.429288   -0.444839 0.000483323
         267   -0.433219   -0.444795 0.000483468
         268   -0.435558   -0.444761 0.000482891
         269   -0.456542   -0.444804 0.000483078
         270   -0.447295   -0.444814 0.000481377
         271   -0.442313   -0.444804 0.000479689
         272   -0.434724   -0.444767 0.000479355
         273   -0.447688   -0.444778 0.000477719
         274   -0.438686   -0.444756 0.000476492
         275   -0.441924   -0.444745 0.000474871
         276   -0.442874   -0.444739 0.000473199
         277   -0.444777   -0.444739  0.00047149
         278   -0.461328   -0.444798 0.000473556
         279   -0.446646   -0.444805 0.000471905
         280   -0.439975   -0.444788 0.000470535
         281   -0.446227   -0.444793 0.000468888
         282     -0.4566   -0.444835 0.000469091
         283   -0.445633   -0.444838 0.000467442
         284   -0.448373    -0.44485 0.000465962
         285   -0.439002    -0.44483 0.000464778
         286    -0.43932    -0.44481 0.000463552
         287   -0.440328   -0.444795   0.0004622
         288   -0.433132   -0.444754 0.000462366
         289   -0.457263   -0.444797 0.000462787
         290   -0.445531     -0.4448 0.000461198
         291   -0.452118   -0.444825 0.000460298
         292   -0.439046   -0.444805 0.000459147
         293   -0.433526   -0.444767 0.000459191
         294   -0.454993   -0.444802 0.000458945
         295    -0.43112   -0.444755 0.000459726
         296    -0.43206   -0.444712  0.00046017
         297   -0.453863   -0.444743  0.00045965
         298   -0.455395   -0.444779 0.000459496
         299   -0.443155   -0.444774 0.000457991
         300   -0.453967   -0.444804 0.000457488
         301   -0.436191   -0.444776 0.000456863
         302   -0.441256   -0.444764 0.000455498
         303   -0.422828   -0.444691 0.000459712
         304   -0.440991   -0.444679 0.000458361
         305   -0.444958    -0.44468 0.000456859
         306   -0.435973   -0.444652 0.000456252
         307   -0.448983   -0.444666 0.000454984
         308    -0.44484   -0.444666 0.000453507
         309   -0.442862   -0.444661 0.000452077
         310   -0.444596    -0.44466 0.000450618
         311   -0.449798   -0.444677 0.000449472
         312   -0.452488   -0.444702 0.000448728
         313    -0.43579   -0.444673 0.000448197
         314   -0.455573   -0.444708 0.000448112
         315   -0.449613   -0.444724  0.00044696
         316   -0.448576   -0.444736 0.000445712
         317   -0.433601   -0.444701 0.000445688
         318   -0.447703    -0.44471 0.000444386
         319   -0.456511   -0.444747  0.00044453
         320   -0.450314   -0.444765 0.000443481
         321   -0.451933   -0.444787 0.000442661
         322    -0.44969   -0.444802 0.000441548
         323   -0.439655   -0.444786 0.000440469
         324   -0.443992   -0.444784 0.000439116
         325   -0.435276   -0.444755 0.000438739
         326   -0.456014   -0.444789  0.00043875
         327   -0.441907    -0.44478 0.000437497
         328   -0.446507   -0.444786 0.000436195
         329   -0.447677   -0.444794 0.000434957
         330   -0.445463   -0.444796 0.000433644
         331   -0.457531   -0.444835 0.000434037
         332   -0.438275   -0.444815  0.00043318
         333   -0.450462   -0.444832  0.00043221
         334   -0.436325   -0.444807 0.000431666
         335   -0.430911   -0.444765 0.000432366
