#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         299    0.329428    0.324561 0.000786963
         300    0.321603    0.324551 0.000784402
         301    0.338043    0.324596 0.000783075
         302    0.301434    0.324519 0.000784229
         303    0.318372    0.324499 0.000781903
         304    0.330323    0.324518 0.000779566
         305    0.328623    0.324532 0.000777126
         306    0.336338     0.32457 0.000775544
         307    0.327498     0.32458 0.000773076
         308    0.296586    0.324489  0.00077589
         309    0.328692    0.324503 0.000773499
         310    0.339228     0.32455 0.000772461
         311    0.354984    0.324648 0.000776151
         312    0.340148    0.324698 0.000775251
         313    0.345201    0.324763 0.000775537
         314    0.329879    0.324779 0.000773238
         315    0.300799    0.324703 0.000774522
         316    0.344259    0.324765 0.000774539
         317    0.366443    0.324897 0.000783175
         318    0.313888    0.324862 0.000781477
         319    0.324711    0.324862 0.000779028
         320    0.300861    0.324787 0.000780195
         321    0.313884    0.324753 0.000778504
         322    0.323013    0.324747 0.000776105
         323    0.323784    0.324744 0.000773707
         324    0.324687    0.324744  0.00077132
         325    0.341799    0.324797 0.000770729
         326    0.312218    0.324758  0.00076933
         327     0.33405    0.324786 0.000767502
         328      0.3282    0.324797 0.000765233
         329    0.321307    0.324786  0.00076298
         330    0.331459    0.324806 0.000760936
         331    0.318195    0.324786 0.000758899
         332    0.324728    0.324786 0.000756614
         333    0.327852    0.324795 0.000754398
         334    0.335657    0.324828 0.000752839
         335    0.322451    0.324821 0.000750626
         336    0.311676    0.324782  0.00074941
         337    0.318114    0.324762 0.000747448
         338    0.323652    0.324759 0.000745244
         339    0.354589    0.324847 0.000748222
         340    0.322181    0.324839 0.000746062
         341     0.32462    0.324838 0.000743875
         342    0.348152    0.324906 0.000744817
         343    0.325996     0.32491 0.000742652
         344    0.339058    0.324951 0.000741631
         345     0.35114    0.325027 0.000743356
         346    0.354538    0.325112 0.000746085
         347    0.316109    0.325086 0.000744386
         348    0.298144    0.325009 0.000746262
         349    0.307026    0.324957 0.000745901
         350    0.324369    0.324955 0.000743771
         351    0.325958    0.324958 0.000741658
         352    0.330756    0.324975 0.000739734
         353    0.329164    0.324987 0.000737733
         354    0.318433    0.324968 0.000735882
         355    0.345247    0.325025 0.000736023
         356    0.315495    0.324998 0.000734442
         357     0.32063    0.324986 0.000732486
         358    0.341924    0.325033 0.000731967
         359    0.357708    0.325124 0.000735565
         360    0.332982    0.325146 0.000733845
         361    0.297471     0.32507 0.000735806
         362    0.327762    0.325077 0.000733811
         363    0.297601    0.325001 0.000735683
         364    0.337642    0.325036 0.000734481
         365    0.309968    0.324995 0.000733628
         366    0.353783    0.325073 0.000735828
         367    0.302859    0.325013 0.000736308
         368    0.311818    0.324977  0.00073518
         369    0.326988    0.324983 0.000733207
         370    0.325191    0.324983 0.000731226
         371    0.321661    0.324974  0.00072931
         372    0.323866    0.324971 0.000727355
         373    0.305749     0.32492 0.000727229
         374    0.314041    0.324891 0.000725866
