#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         336   -0.738293   -0.769493 0.000819132
         337   -0.771374   -0.769498 0.000816721
         338   -0.772119   -0.769506 0.000814341
         339   -0.789958   -0.769567 0.000814171
         340   -0.760718   -0.769541 0.000812192
         341   -0.763971   -0.769524 0.000809974
         342   -0.797657   -0.769606 0.000811772
         343   -0.775954   -0.769625 0.000809617
         344   -0.799957   -0.769713  0.00081205
         345   -0.800353   -0.769802 0.000814539
         346   -0.796426   -0.769879 0.000815811
         347   -0.752009   -0.769827 0.000815084
         348   -0.748168   -0.769765 0.000815114
         349   -0.748773   -0.769705 0.000814995
         350   -0.772169   -0.769712 0.000812697
         351   -0.773747   -0.769724 0.000810463
         352   -0.785445   -0.769768  0.00080939
         353   -0.769725   -0.769768 0.000807097
         354   -0.764472   -0.769753 0.000804956
         355   -0.781219   -0.769785 0.000803336
         356   -0.777621   -0.769807 0.000801381
         357   -0.764478   -0.769792 0.000799275
         358   -0.778588   -0.769817  0.00079742
         359   -0.793591   -0.769883 0.000797944
         360   -0.782981    -0.76992 0.000796557
         361   -0.741758   -0.769842 0.000798161
         362   -0.784133   -0.769881 0.000796932
         363   -0.747322   -0.769819 0.000797156
         364   -0.775837   -0.769836 0.000795137
         365    -0.74313   -0.769762 0.000796318
         366   -0.798467   -0.769841 0.000797995
         367   -0.748713   -0.769783 0.000797895
         368   -0.753888    -0.76974 0.000796895
         369    -0.78151   -0.769772 0.000795373
         370    -0.77291    -0.76978 0.000793269
         371   -0.761525   -0.769758 0.000791442
         372    -0.76274   -0.769739  0.00078954
         373   -0.754017   -0.769697 0.000788547
         374   -0.768206   -0.769693 0.000786449
         375   -0.770833   -0.769696 0.000784358
         376   -0.767995   -0.769692 0.000782285
         377   -0.718491   -0.769556 0.000791911
         378   -0.735077   -0.769465 0.000795052
         379   -0.754183   -0.769424 0.000793976
         380   -0.751769   -0.769378 0.000793245
         381   -0.769943   -0.769379 0.000791164
         382    -0.72629   -0.769267 0.000797093
         383   -0.753645   -0.769226 0.000796055
         384   -0.765787   -0.769217 0.000794032
         385   -0.757937   -0.769187  0.00079251
         386     -0.7721   -0.769195 0.000790493
         387   -0.738041   -0.769115 0.000792539
         388   -0.783582   -0.769152 0.000791373
         389   -0.796343   -0.769222 0.000792419
         390   -0.786241   -0.769265 0.000791588
         391    -0.75741   -0.769235 0.000790144
         392   -0.761751   -0.769216 0.000788359
         393   -0.774732    -0.76923 0.000786478
         394   -0.764441   -0.769218 0.000784576
         395   -0.780051   -0.769245 0.000783069
         396   -0.774871   -0.769259  0.00078122
         397   -0.751213   -0.769214 0.000780574
         398   -0.776886   -0.769233 0.000778851
         399    -0.79909   -0.769308 0.000780485
         400   -0.770738   -0.769312 0.000778542
         401   -0.785641   -0.769352 0.000777665
         402   -0.761181   -0.769332 0.000775996
         403   -0.763671   -0.769318 0.000774197
         404   -0.782985   -0.769352  0.00077302
         405   -0.762416   -0.769335 0.000771301
         406   -0.766616   -0.769328  0.00076943
         407   -0.762595   -0.769312 0.000767717
         408   -0.804236   -0.769397 0.000770593
         409   -0.762461    -0.76938 0.000768895
         410   -0.746831   -0.769325 0.000768984
         411   -0.783104   -0.769359 0.000767844
         412   -0.776175   -0.769375 0.000766158
         413   -0.765617   -0.769366 0.000764357
         414   -0.788011   -0.769411 0.000763837
         415   -0.785232   -0.769449 0.000762947
         416   -0.762822   -0.769433 0.000761279
         417   -0.759538    -0.76941 0.000759823
         418   -0.766406   -0.769402 0.000758039
         419   -0.779833   -0.769427 0.000756639
         420   -0.775742   -0.769442 0.000754987
         421   -0.775947   -0.769458 0.000753351
         422   -0.753879   -0.769421  0.00075247
         423   -0.751971    -0.76938 0.000751821
         424   -0.783713   -0.769413 0.000750808
         425   -0.757495   -0.769385 0.000749565
         426   -0.763582   -0.769372 0.000747929
         427   -0.770878   -0.769375 0.000746186
         428   -0.789991   -0.769423 0.000745995
         429    -0.76701   -0.769418 0.000744278
         430    -0.78184   -0.769447 0.000743107
         431    -0.78825    -0.76949 0.000742663
         432   -0.751002   -0.769448 0.000742176
         433   -0.774113   -0.769458  0.00074054
         434   -0.758579   -0.769433 0.000739257
         435   -0.766091   -0.769426 0.000737598
         436   -0.771538    -0.76943 0.000735922
         437   -0.788023   -0.769473 0.000735467
         438   -0.762602   -0.769457 0.000733955
         439   -0.757158   -0.769429 0.000732818
         440   -0.731409   -0.769343 0.000736229
         441   -0.780122   -0.769367 0.000734965
         442   -0.771634   -0.769372  0.00073332
         443   -0.762265   -0.769356  0.00073184
         444   -0.762155    -0.76934 0.000730372
         445   -0.775581   -0.769354 0.000728865
         446   -0.769615   -0.769355 0.000727231
         447     -0.7634   -0.769341 0.000725726
         448   -0.759403   -0.769319 0.000724445
         449   -0.742417   -0.769259 0.000725305
         450   -0.789349   -0.769304 0.000725066
         451   -0.769486   -0.769304 0.000723459
