#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          11       -0.55    0.387818  0.00578516
          11       -0.45    0.346182   0.0083149
          11       -0.35    0.347818  0.00606142
          11       -0.25    0.306273  0.00546074
          11       -0.15    0.305091  0.00414899
          11       -0.05       0.287  0.00527899
          11        0.05    0.293455  0.00588227
          11        0.15    0.274909  0.00704701
          11        0.25    0.302091  0.00679141
          11        0.35    0.337727  0.00692473
          11        0.45    0.360364  0.00763774
          11        0.55    0.389364  0.00560441
          11        0.65    0.431455   0.0113432
          11        0.75    0.410636  0.00864189
          11        0.85    0.400182  0.00980034
          11        0.95    0.396909   0.0107653
          11        1.05    0.342091   0.0069359
          11        1.15    0.289273  0.00813938
          11        1.25    0.242909  0.00897881
          11        1.35    0.168636  0.00570381
          11        1.45       0.124  0.00390803
          11        1.55   0.0869091  0.00441533
          11        1.65   0.0557273  0.00242266
          11        1.75   0.0389091  0.00407056
          11        1.85   0.0209091  0.00217215
          11        1.95   0.0112727  0.00148319
          12       -1.95   0.0164167  0.00171779
          12       -1.85      0.0205  0.00203954
          12       -1.75   0.0356667  0.00241619
          12       -1.65   0.0644167  0.00301491
          12       -1.55   0.0879167  0.00357937
          12       -1.45      0.1325  0.00505319
          12       -1.35    0.183417  0.00588602
          12       -1.25    0.228083  0.00540121
          12       -1.15    0.292833  0.00545414
          12       -1.05       0.347  0.00806742
          12       -0.95    0.377833  0.00585452
          12       -0.85         0.4  0.00938305
          12       -0.75     0.43175   0.0109925
          12       -0.65       0.416  0.00925938
          12       -0.55    0.393917  0.00788763
          12       -0.45    0.349417  0.00822721
          12       -0.35      0.3465  0.00569783
          12       -0.25    0.304667  0.00523653
          12       -0.15    0.305083  0.00380325
          12       -0.05    0.284833  0.00526497
          12        0.05    0.292667  0.00544459
          12        0.15       0.275  0.00646035
          12        0.25    0.297417  0.00766708
          12        0.35    0.337083  0.00637754
          12        0.45    0.362583   0.0073167
          12        0.55    0.387917  0.00532089
          12        0.65    0.430417   0.0104453
          12        0.75    0.412417  0.00810303
          12        0.85    0.401583   0.0090833
          12        0.95    0.392417   0.0107648
          12        1.05    0.342333  0.00636214
          12        1.15    0.285917  0.00812358
          12        1.25    0.239833  0.00874153
          12        1.35    0.172833  0.00659422
          12        1.45     0.12275  0.00377699
          12        1.55     0.08475  0.00454472
          12        1.65   0.0566667  0.00239598
          12        1.75   0.0374167  0.00399558
          12        1.85        0.02  0.00217307
          12        1.95   0.0108333  0.00142319
          13       -1.95   0.0156154  0.00176266
          13       -1.85   0.0204615  0.00188301
          13       -1.75   0.0371538  0.00264876
          13       -1.65   0.0637692  0.00285167
          13       -1.55   0.0883077  0.00332533
          13       -1.45    0.132385   0.0046658
          13       -1.35    0.183462  0.00543342
          13       -1.25    0.232923  0.00681754
          13       -1.15    0.288769  0.00637131
