#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          10   0.0612888   0.0570924 0.000926387
          11   0.0561892   0.0570103 0.000845801
          12    0.061804   0.0574098 0.000864522
          13   0.0617912   0.0577468 0.000861213
          14   0.0601308   0.0579171 0.000816359
          15   0.0580008   0.0579227 0.000761954
          16   0.0571176   0.0578724 0.000715992
          17   0.0604688   0.0580251 0.000689972
          18    0.060014   0.0581356 0.000660428
          19     0.05707   0.0580795 0.000628046
          20   0.0584648   0.0580988 0.000596939
           1    0.051488    0.051488           0
           2    0.053162    0.052325 0.000591848
           3    0.053548   0.0527327 0.000516214
           4   0.0546828   0.0532202 0.000572852
           5    0.051824    0.052941 0.000521922
           6   0.0498876   0.0524321 0.000636379
           7   0.0563292   0.0529888 0.000750472
           8   0.0553504    0.053284  0.00071236
           9   0.0498384   0.0529012 0.000728861
          10    0.053014   0.0529124 0.000656062
          11   0.0550912   0.0531105 0.000625605
          12    0.049198   0.0527845 0.000652927
          13   0.0524252   0.0527568 0.000603287
          14   0.0511184   0.0526398 0.000571433
          15    0.050456   0.0524942 0.000551572
          16    0.055574   0.0526867  0.00054966
          17   0.0525116   0.0526764 0.000517424
          18   0.0525004   0.0526666 0.000488771
          19   0.0514984   0.0526051 0.000466897
          20   0.0495748   0.0524536 0.000467491
           1   0.0468292   0.0468292           0
           2   0.0475864   0.0472078 0.000267711
           3   0.0496128   0.0480095 0.000678454
           4   0.0466864   0.0476787 0.000583929
           5   0.0477008   0.0476831  0.00046716
           6   0.0389444   0.0462267  0.00138538
           7   0.0462372   0.0462282  0.00118747
           8   0.0466408   0.0462797  0.00104015
           9   0.0465872   0.0463139 0.000925141
          10   0.0479244    0.046475 0.000846529
          11     0.04826   0.0466372 0.000784971
          12     0.04817    0.046765 0.000729875
          13     0.04568   0.0466815 0.000678486
          14   0.0410596   0.0462799 0.000739368
          15   0.0456728   0.0462395 0.000691183
          16   0.0461824   0.0462359 0.000647994
          17   0.0469696   0.0462791 0.000611312
          18   0.0457396   0.0462491 0.000578084
          19    0.044178   0.0461401 0.000557841
          20   0.0481252   0.0462393 0.000538707
           1   0.0436716   0.0436716           0
           2   0.0436916   0.0436816 7.07107e-06
           3   0.0454688   0.0442773 0.000486437
           4   0.0392048   0.0430092  0.00115725
           5   0.0442516   0.0432577   0.0009521
           6   0.0419676   0.0430427 0.000817335
           7    0.044756   0.0432874  0.00073631
           8    0.043616   0.0433285 0.000645416
           9   0.0414332   0.0431179 0.000607087
          10   0.0428044   0.0430866 0.000547187
          11   0.0442684    0.043194 0.000507882
          12   0.0437584    0.043241 0.000467731
          13   0.0421252   0.0431552 0.000439557
          14   0.0405564   0.0429696 0.000445636
          15   0.0417916    0.042891 0.000422789
          16   0.0442864   0.0429782  0.00040526
          17   0.0457644   0.0431421 0.000413234
          18   0.0431672   0.0431435 0.000390279
          19   0.0438648   0.0431815 0.000371579
          20   0.0433268   0.0431888 0.000353072
           1   0.0368304   0.0368304           0
           2   0.0357784   0.0363044 0.000371938
           3   0.0354492   0.0360193 0.000340087
           4   0.0370012   0.0362648 0.000332037
           5   0.0392204   0.0368559  0.00059169
           6   0.0392904   0.0372617 0.000616697
           7   0.0361072   0.0370967 0.000550208
           8   0.0349688   0.0368307 0.000541927
           9   0.0371876   0.0368704 0.000483162
          10   0.0332396   0.0365073 0.000554739
          11     0.03695   0.0365476 0.000505765
          12   0.0395808   0.0368003 0.000522982
          13    0.039268   0.0369902 0.000516052
          14   0.0380464   0.0370656 0.000484675
          15   0.0382376   0.0371437 0.000458618
          16   0.0360224   0.0370736 0.000435276
          17   0.0373232   0.0370883 0.000409919
          18   0.0403024   0.0372669 0.000424257
          19    0.036992   0.0372524 0.000402175
