#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         461     0.16177     0.14704  0.00288621
         462    0.116476    0.146974  0.00288072
         463    0.219987    0.147132  0.00287881
         464    0.115322    0.147063  0.00287342
         465    0.249657    0.147284   0.0028757
         466    0.225835    0.147452  0.00287446
         467    0.138118    0.147432  0.00286838
         468    0.183026    0.147509  0.00286326
         469    0.193523    0.147607  0.00285883
         470    0.147155    0.147606  0.00285275
         471    0.107199     0.14752  0.00284798
         472    0.242703    0.147722  0.00284908
         473    0.149453    0.147725  0.00284306
         474   0.0614081    0.147543  0.00284289
         475    0.220754    0.147697  0.00284108
         476    0.205378    0.147818  0.00283769
         477    0.150862    0.147825  0.00283175
         478   0.0467239    0.147613  0.00283371
         479    0.103602    0.147521  0.00282929
         480   0.0936744    0.147409  0.00282562
         481    0.243634    0.147609  0.00282681
         482    0.125666    0.147564  0.00282132
         483    0.133374    0.147534  0.00281563
         484    0.137499    0.147514  0.00280989
         485    0.176072    0.147573  0.00280471
         486   0.0908879    0.147456  0.00280136
         487     0.14643    0.147454  0.00279561
         488    0.130307    0.147419   0.0027901
         489    0.219321    0.147566  0.00278827
         490     0.19081    0.147654  0.00278398
         491    0.206898    0.147775  0.00278092
         492    0.154969    0.147789  0.00277531
         493    0.103244    0.147699  0.00277115
         494    0.055424    0.147512  0.00277183
         495    0.126844     0.14747  0.00276654
         496   0.0437082    0.147261  0.00276886
         497    0.126135    0.147219  0.00276362
         498     0.11965    0.147163  0.00275862
         499    0.201025    0.147271   0.0027552
         500    0.107332    0.147191  0.00275085
         501    0.247007    0.147391  0.00275256
         502    0.255731    0.147606  0.00275553
         503    0.135801    0.147583  0.00275015
         504    0.218259    0.147723  0.00274827
         505    0.197464    0.147822  0.00274459
         506    0.185238    0.147896  0.00274016
         507    0.123462    0.147847  0.00273518
         508    0.166632    0.147884  0.00273005
         509   0.0802409    0.147751  0.00272792
         510   0.0883168    0.147635  0.00272505
         511    0.267177    0.147869  0.00272975
         512    0.229535    0.148028  0.00272907
         513   0.0735231    0.147883  0.00272761
         514    0.204405    0.147993  0.00272452
         515    0.174017    0.148044   0.0027197
         516     0.13077     0.14801  0.00271463
         517    0.272913    0.148252  0.00272011
         518    0.112354    0.148182  0.00271574
         519    0.217232    0.148315  0.00271377
         520   0.0532849    0.148133   0.0027147
         521    0.196836    0.148226  0.00271109
         522    0.266454    0.148453  0.00271535
         523   0.0981508    0.148357  0.00271186
         524    0.112688    0.148288  0.00270753
         525   0.0998335    0.148196  0.00270395
         526   0.0845842    0.148075  0.00270151
         527    0.156369    0.148091  0.00269643
         528    0.127136    0.148051  0.00269162
         529   0.0625391     0.14789  0.00269138
         530    0.146808    0.147888   0.0026863
         531    0.150812    0.147893  0.00268125
         532    0.168375    0.147932  0.00267648
         533    0.118165    0.147876  0.00267205
         534   0.0143942    0.147626  0.00267871
         535    0.173132    0.147673  0.00267413
         536    0.236569    0.147839  0.00267427
         537    0.157914    0.147858  0.00266936
         538    0.164877     0.14789  0.00266459
         539    0.135197    0.147866  0.00265975
         540    0.151428    0.147873  0.00265483
         541    0.112404    0.147807  0.00265073
         542    0.121333    0.147758  0.00264629
         543    0.131088    0.147728   0.0026416
         544    0.131486    0.147698  0.00263691
         545   0.0930988    0.147598  0.00263397
         546    0.119571    0.147546  0.00262965
         547    0.145407    0.147542  0.00262484
         548    0.137226    0.147524  0.00262012
         549    0.178551     0.14758  0.00261596
         550    0.150529    0.147585  0.00261121
         551   0.0778456    0.147459  0.00260953
         552    0.102704    0.147378  0.00260607
         553    0.173435    0.147425  0.00260178
         554     0.17278    0.147471  0.00259749
         555   0.0835543    0.147355  0.00259536
         556    0.250999    0.147542  0.00259738
         557    0.111512    0.147477  0.00259352
         558    0.200891    0.147573  0.00259064
         559    0.212908     0.14769  0.00258864
         560    0.138118    0.147673  0.00258407
         561    0.169348    0.147711  0.00257975
         562    0.261009    0.147913  0.00258303
         563    0.111734    0.147849  0.00257924
         564    0.212627    0.147964  0.00257722
         565    0.112206      0.1479  0.00257344
         566    0.117423    0.147846  0.00256945
         567    0.166059    0.147879  0.00256512
         568    0.187062    0.147948  0.00256153
         569    0.109729     0.14788  0.00255791
         570    0.154567    0.147892  0.00255345
         571    0.102672    0.147813  0.00255021
         572   0.0455078    0.147634  0.00255201
         573    0.215016    0.147752  0.00255027
         574   0.0673009    0.147611  0.00254967
         575    0.195184    0.147694  0.00254658
         576    0.199253    0.147784  0.00254373
         577     0.12876    0.147751  0.00253954
         578    0.114166    0.147693  0.00253581
         579    0.135891    0.147672  0.00253151
         580    0.108215    0.147604  0.00252806
         581    0.165781    0.147636   0.0025239
         582    0.228187    0.147774  0.00252336
         583    0.134491    0.147751  0.00251913
         584   0.0582039    0.147598  0.00251948
         585    0.168978    0.147634  0.00251544
         586   0.0989749    0.147551  0.00251252
         587    0.203236    0.147646  0.00251003
         588    0.049665     0.14748  0.00251128
         589    0.164667    0.147509  0.00250719
         590   0.0396035    0.147326   0.0025096
         591    0.168156    0.147361   0.0025056
         592    0.163719    0.147389  0.00250152
         593    0.156543    0.147404  0.00249735
         594   0.0686847    0.147272  0.00249666
         595   0.0998661    0.147192  0.00249374
         596    0.115309    0.147138  0.00249013
         597   0.0915277    0.147045   0.0024877
         598   0.0808684    0.146935    0.002486
         599    0.153004    0.146945  0.00248187
         600    0.198747    0.147031  0.00247923
         601    0.192468    0.147107  0.00247626
         602     0.14297      0.1471  0.00247216
         603   0.0995803    0.147021  0.00246931
         604   0.0698812    0.146893  0.00246852
         605     0.18818    0.146962  0.00246539
         606       0.115    0.146909  0.00246188
         607    0.172101     0.14695  0.00245818
         608    0.140279    0.146939  0.00245416
         609   0.0520995    0.146784  0.00245506
         610     0.12844    0.146754  0.00245122
         611    0.084233    0.146651  0.00244935
         612    0.209816    0.146754  0.00244752
         613    0.257347    0.146935  0.00245017
         614    0.163697    0.146962  0.00244633
         615    0.130272    0.146935   0.0024425
         616    0.145218    0.146932  0.00243854
         617    0.118693    0.146886  0.00243501
         618    0.132363    0.146863  0.00243119
         619   0.0954728     0.14678  0.00242868
         620   0.0766389    0.146667  0.00242739
