T:   H:   H_ERR:   MU:   SIGMA:
    0.350989    -0.35616  0.00164368    0.677357     0.54749
    0.345724   -0.386471  0.00131111    0.686679    0.573883
    0.340538   -0.369541  0.00175393     0.67679    0.561219
     0.33543   -0.372528  0.00123305    0.666529    0.588824
    0.330398    -0.38207   0.0011924    0.691718    0.560366
    0.325442   -0.392287  0.00156059     0.69862    0.568827
    0.320561   -0.383842  0.00147297    0.681298    0.575243
    0.315752   -0.398025  0.00114705    0.704696    0.574613
    0.311016   -0.397475  0.00121239    0.696928    0.576763
    0.306351   -0.387933 0.000970311    0.675426    0.595002
    0.301756   -0.379382   0.0010923    0.663543     0.60578
    0.297229   -0.397532 0.000957947    0.683215    0.608007
    0.292771   -0.411787  0.00102535    0.702398    0.633414
    0.288379   -0.404304  0.00101883    0.690774     0.62077
    0.284054   -0.418435 0.000968319     0.71601    0.604355
    0.279793   -0.402463  0.00132946    0.698911    0.585641
    0.275596   -0.386014  0.00137018    0.673324    0.592434
    0.271462   -0.381739  0.00131479    0.685206    0.569906
     0.26739   -0.403938  0.00111171    0.699601    0.593825
    0.263379   -0.407683 0.000876391    0.711334    0.587628
    0.259429   -0.427071  0.00100163    0.735521    0.601366
    0.255537   -0.415485  0.00115745    0.724709    0.582795
    0.251704    -0.40715  0.00110592    0.707974    0.583237
    0.247928   -0.396152  0.00125256    0.684939     0.59881
     0.24421   -0.375323  0.00146047    0.672126    0.574102
    0.240546   -0.389631  0.00123324    0.689857    0.577564
    0.236938   -0.384448  0.00131129    0.683601    0.573095
    0.233384   -0.374392  0.00127283    0.663925    0.595096
    0.229883   -0.378995  0.00116237    0.663042    0.605888
    0.226435   -0.362987  0.00124111    0.650342    0.589103
    0.223039   -0.352111  0.00108994    0.636441     0.60101
    0.219693   -0.338019  0.00118534    0.620774    0.609884
    0.216398   -0.330708  0.00134509    0.613951    0.613722
    0.213152   -0.352042  0.00143005    0.630913    0.623901
    0.209954   -0.370002  0.00126626    0.647949    0.627738
    0.206805   -0.373916  0.00100721    0.653472    0.637174
    0.203703    -0.36674  0.00123826    0.644847    0.654329
    0.200647   -0.374411  0.00142323    0.655192    0.662291
    0.197638   -0.383385  0.00130221    0.667461    0.654957
    0.194673   -0.388612  0.00136793    0.677663    0.674873
    0.191753   -0.390239  0.00122895    0.673751    0.654446
    0.188877   -0.375218  0.00124967    0.656499    0.648962
    0.186044   -0.373632  0.00119846    0.649598    0.638809
    0.183253    -0.36888  0.00118926    0.648967    0.619472
    0.180504   -0.347895  0.00153071    0.633803    0.598386
    0.177797   -0.344396  0.00118337    0.629079    0.601256
     0.17513   -0.361408  0.00132784    0.642221     0.61779
    0.172503    -0.36035  0.00127812    0.638282    0.628132
    0.169915   -0.351183 0.000901172    0.626946    0.637792
    0.167366   -0.367026  0.00111747    0.644445      0.6526
    0.164856   -0.350946  0.00149129    0.627752    0.650598
    0.162383   -0.347163   0.0013527    0.621965    0.645165
    0.159947   -0.341876  0.00131338    0.618857    0.648743
    0.157548   -0.353824   0.0013933    0.631339    0.634323
    0.155185   -0.349785  0.00142349    0.631676    0.626232
    0.152857    -0.34563  0.00140606    0.626235    0.614772
    0.150564   -0.341668  0.00152876    0.620818    0.626059
    0.148306    -0.35249  0.00148293    0.628629    0.644955
    0.146081   -0.358902  0.00134489    0.635623    0.639855
     0.14389   -0.351445  0.00141259    0.632176    0.621652
    0.141732   -0.349107  0.00123354    0.626028    0.635041
    0.139606   -0.351116  0.00146398    0.630612    0.622967
    0.137512   -0.344361  0.00127201    0.623202    0.627431
    0.135449   -0.334554  0.00126664    0.614864    0.624646
    0.133417   -0.316559  0.00144939    0.601461    0.607611
    0.131416   -0.321701   0.0013856    0.612028    0.590952
    0.129445   -0.336583  0.00138742    0.627821    0.589561
    0.127503   -0.327654  0.00141932    0.621383    0.584198
     0.12559   -0.346336  0.00154348     0.63302     0.59288
    0.123707   -0.345461   0.0013831    0.630447    0.608928
    0.121851   -0.359338  0.00135936    0.643761    0.597893
    0.120023   -0.352962  0.00120397    0.637534    0.597037
    0.118223   -0.348429  0.00129161     0.64135    0.580453
     0.11645   -0.353312  0.00149817    0.643361    0.589542
    0.114703   -0.366617  0.00145391    0.657768    0.586454
