#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.640944   -0.640944           0
           2   -0.639124   -0.640034 0.000643306
           3   -0.640181   -0.640083 0.000430718
           4   -0.639959   -0.640052 0.000324143
           5   -0.641104   -0.640262 0.000320406
           6   -0.640002   -0.640219  0.00026992
           7   -0.640298    -0.64023 0.000231594
           8   -0.639825    -0.64018 0.000208118
           9   -0.639861   -0.640144  0.00018798
          10   -0.639825   -0.640112  0.00017187
          11    -0.63934   -0.640042 0.000169973
          12   -0.640737     -0.6401  0.00016537
          13   -0.639346   -0.640042 0.000162496
          14   -0.640511   -0.640076 0.000154307
          15   -0.641163   -0.640148 0.000160154
          16   -0.639538    -0.64011 0.000154619
          17   -0.640328   -0.640123 0.000146055
          18   -0.640157   -0.640125 0.000137954
          19    -0.64056   -0.640148 0.000132583
          20   -0.639722   -0.640126 0.000127648
           1   -0.615398   -0.615398           0
           2   -0.614912   -0.615155 0.000171793
           3   -0.614773   -0.615027 0.000154691
           4   -0.615036    -0.61503 0.000116034
           5    -0.61561   -0.615146 0.000139329
           6    -0.61526   -0.615165 0.000117394
           7   -0.614399   -0.615055 0.000142767
           8   -0.615219   -0.615076 0.000126371
           9   -0.615218   -0.615092  0.00011332
          10   -0.615109   -0.615093 0.000102001
          11   -0.615713    -0.61515 0.000107141
          12    -0.61629   -0.615245 0.000133905
          13   -0.615825   -0.615289 0.000130824
          14   -0.615582    -0.61531 0.000123136
          15   -0.614104    -0.61523 0.000138721
          16   -0.614458   -0.615182 0.000138193
          17   -0.615714   -0.615213 0.000133568
          18   -0.616009   -0.615257 0.000133271
          19   -0.614523   -0.615218 0.000131739
          20   -0.615679   -0.615241 0.000127147
           1   -0.591723   -0.591723           0
           2      -0.592   -0.591861  9.8104e-05
           3   -0.592804   -0.592175 0.000264712
           4   -0.592432    -0.59224 0.000206161
           5   -0.592637   -0.592319 0.000179616
           6   -0.591995   -0.592265 0.000157579
           7   -0.591535   -0.592161 0.000166011
           8   -0.592292   -0.592177 0.000146064
           9    -0.59183   -0.592139 0.000134825
          10   -0.591634   -0.592088 0.000130452
          11   -0.591354   -0.592021 0.000134599
          12   -0.591801   -0.592003 0.000124632
          13   -0.591377   -0.591955 0.000123993
          14   -0.591934   -0.591953 0.000115146
          15   -0.591955   -0.591954 0.000107469
          16   -0.591819   -0.591945 0.000101079
          17   -0.592418   -0.591973 9.88888e-05
          18   -0.591622   -0.591954 9.52983e-05
          19   -0.591261   -0.591917 9.69993e-05
          20   -0.591967    -0.59192 9.21811e-05
           1   -0.569265   -0.569265           0
           2    -0.56993   -0.569598 0.000235022
           3   -0.569383   -0.569526 0.000167261
           4   -0.570073   -0.569663 0.000172498
           5   -0.570664   -0.569863 0.000226161
           6   -0.569268   -0.569764 0.000209109
           7   -0.570417   -0.569857 0.000198952
           8   -0.569244    -0.56978 0.000188266
           9   -0.568623   -0.569652 0.000206663
          10   -0.570723   -0.569759 0.000211958
          11   -0.569672   -0.569751 0.000192835
          12   -0.570083   -0.569779 0.000178742
          13    -0.56995   -0.569792 0.000165479
          14   -0.570041    -0.56981 0.000154613
          15   -0.570064   -0.569827  0.00014523
          16   -0.570074   -0.569842 0.000136973
          17   -0.570325   -0.569871 0.000131827
          18    -0.57012   -0.569884 0.000125227
          19    -0.56944   -0.569861 0.000120798
          20   -0.569947   -0.569865 0.000114833
           1   -0.549401   -0.549401           0
           2   -0.548398   -0.548899 0.000354543
           3   -0.550754   -0.549518 0.000557443
           4   -0.548442   -0.549249  0.00047859
           5   -0.549958    -0.54939 0.000403346
           6   -0.548583   -0.549256 0.000357849
           7   -0.550003   -0.549363 0.000322255
           8   -0.549349   -0.549361 0.000281978
           9   -0.549901   -0.549421 0.000256944
          10   -0.549739   -0.549453 0.000233213
          11   -0.548675   -0.549382 0.000222473
          12   -0.549071   -0.549356 0.000205437
          13   -0.549301   -0.549352 0.000189678
          14   -0.549902   -0.549391 0.000180158
          15   -0.550461   -0.549463 0.000181708
          16   -0.549439   -0.549461 0.000170357
          17   -0.550134   -0.549501 0.000164866
          18   -0.549698   -0.549512  0.00015607
          19    -0.54967    -0.54952 0.000148079
          20   -0.549451   -0.549516 0.000140716
           1   -0.528873   -0.528873           0
           2    -0.53003   -0.529452 0.000408906
           3   -0.529967   -0.529623 0.000306515
           4   -0.528574   -0.529361  0.00032326
           5    -0.53063   -0.529615 0.000344121
           6   -0.529255   -0.529555 0.000291931
           7   -0.529752   -0.529583 0.000251578
           8   -0.529334   -0.529552 0.000222051
           9   -0.529735   -0.529572 0.000198309
          10   -0.529343   -0.529549 0.000179795
          11   -0.530175   -0.529606 0.000172214
          12   -0.530028   -0.529641 0.000161404
          13   -0.531283   -0.529768 0.000192142
          14    -0.52914   -0.529723  0.00018357
          15    -0.52946   -0.529705 0.000172166
          16   -0.530287   -0.529742 0.000165198
          17   -0.529845   -0.529748 0.000155593
          18   -0.530233   -0.529775 0.000149269
          19   -0.529445   -0.529757 0.000142415
          20   -0.530203    -0.52978 0.000137024
           1   -0.511501   -0.511501           0
           2   -0.511877   -0.511689 0.000132998
           3   -0.510728   -0.511368 0.000276198
           4   -0.512487   -0.511648 0.000318672
           5   -0.511141   -0.511547 0.000270596
           6   -0.511886   -0.511603 0.000231334
           7   -0.511719    -0.51162 0.000198882
           8   -0.511207   -0.511568 0.000180602
           9    -0.51188   -0.511603 0.000163829
          10   -0.511893   -0.511632 0.000149998
          11   -0.510955    -0.51157  0.00014843
          12   -0.511625   -0.511575 0.000136131
          13   -0.511531   -0.511571   0.0001257
          14   -0.512524    -0.51164 0.000133882
          15   -0.512076   -0.511669 0.000128078
          16   -0.511555   -0.511661 0.000120271
          17    -0.51205   -0.511684  0.00011535
          18   -0.511032   -0.511648   0.0001145
          19    -0.51131    -0.51163 0.000109849
          20   -0.511024     -0.5116 0.000108464
           1    -0.49394    -0.49394           0
           2   -0.492543   -0.493242 0.000493965
           3   -0.494927   -0.493804 0.000564729
           4   -0.495228    -0.49416 0.000523943
           5   -0.494984   -0.494325  0.00044435
           6   -0.494248   -0.494312 0.000370476
           7   -0.494136   -0.494287 0.000318398
           8   -0.494232    -0.49428 0.000278673
           9   -0.494255   -0.494277 0.000247723
          10   -0.493607    -0.49421  0.00023183
          11   -0.494498   -0.494236 0.000212224
          12   -0.493896   -0.494208 0.000196428
          13   -0.494028   -0.494194 0.000181807
          14    -0.49379   -0.494165   0.0001711
          15   -0.494938   -0.494217 0.000167274
          16   -0.495195   -0.494278 0.000167626
          17    -0.49438   -0.494284 0.000157874
          18   -0.493828   -0.494259 0.000151117
          19   -0.493698   -0.494229 0.000146016
          20   -0.493918   -0.494213 0.000139543
           1    -0.47842    -0.47842           0
           2   -0.477823   -0.478122 0.000211057
           3   -0.477745   -0.477996 0.000174146
           4   -0.479447   -0.478359 0.000340129
           5   -0.478799   -0.478447 0.000283293
           6   -0.479841   -0.478679 0.000317316
           7   -0.477457   -0.478505 0.000316383
           8   -0.478676   -0.478526  0.00027756
           9   -0.477683   -0.478432 0.000262039
          10   -0.478233   -0.478412 0.000236596
          11   -0.477322   -0.478313 0.000234931
          12   -0.478821   -0.478356 0.000219133
          13   -0.477726   -0.478307 0.000207568
          14   -0.478097   -0.478292 0.000193285
          15     -0.4777   -0.478253 0.000184385
          16     -0.4781   -0.478243 0.000173108
          17   -0.477803   -0.478217 0.000164853
          18   -0.478334   -0.478224 0.000155821
          19   -0.478241   -0.478225 0.000147623
          20   -0.479234   -0.478275 0.000148611
           1   -0.462571   -0.462571           0
           2   -0.463544   -0.463058 0.000344002
           3   -0.463243    -0.46312 0.000234824
           4   -0.462225   -0.462896 0.000261882
           5   -0.462889   -0.462895 0.000209509
           6   -0.462325     -0.4628 0.000194921
           7   -0.462913   -0.462816 0.000167748
           8   -0.462024   -0.462717 0.000173512
           9   -0.463245   -0.462776 0.000163845
          10   -0.463738   -0.462872 0.000173434
          11   -0.462569   -0.462844 0.000159831
          12   -0.464236    -0.46296 0.000183848
          13   -0.462713   -0.462941 0.000170684
          14   -0.462331   -0.462898 0.000163961
          15   -0.462618   -0.462879 0.000154088
          16   -0.462369   -0.462847 0.000147712
          17   -0.462115   -0.462804 0.000145171
          18   -0.462705   -0.462799  0.00013721
          19   -0.462838   -0.462801 0.000130004
          20   -0.462566   -0.462789 0.000124032
