#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          13   -0.615446   -0.615279 0.000150976
          14    -0.61378   -0.615172 0.000174088
          15   -0.615022   -0.615162 0.000162771
          16   -0.615626   -0.615191 0.000155165
          17   -0.616049   -0.615241 0.000154036
          18   -0.614603   -0.615206 0.000149511
          19   -0.616317   -0.615264 0.000152653
          20   -0.615512   -0.615277 0.000145523
           1   -0.592217   -0.592217           0
           2    -0.59204   -0.592129 6.27571e-05
           3   -0.592783   -0.592347 0.000182841
           4    -0.59242   -0.592365 0.000138038
           5     -0.5925   -0.592392 0.000113039
           6   -0.591902    -0.59231 0.000120089
           7   -0.591495   -0.592194 0.000149098
           8   -0.591885   -0.592155  0.00013537
           9   -0.591823   -0.592118  0.00012526
          10   -0.591139    -0.59202 0.000146105
          11   -0.591757   -0.591996 0.000134766
          12   -0.590987   -0.591912 0.000147454
          13    -0.59233   -0.591945 0.000139569
          14   -0.592104   -0.591956 0.000130062
          15   -0.591154   -0.591902 0.000131929
          16    -0.59259   -0.591945 0.000130499
          17   -0.591955   -0.591946 0.000122824
          18    -0.59166    -0.59193 0.000117024
          19   -0.591356     -0.5919 0.000114698
          20    -0.59131    -0.59187 0.000112686
           1   -0.569428   -0.569428           0
           2   -0.570341   -0.569884 0.000322636
           3   -0.569575   -0.569781 0.000230942
           4   -0.570616    -0.56999 0.000250377
           5   -0.569769   -0.569946 0.000204187
           6   -0.569625   -0.569892 0.000177003
           7   -0.569142   -0.569785 0.000181271
           8   -0.569516   -0.569752 0.000161696
           9   -0.570681   -0.569855  0.00017357
          10   -0.569167   -0.569786 0.000169286
          11   -0.570435   -0.569845 0.000163865
          12   -0.570466   -0.569897 0.000158157
          13   -0.569431   -0.569861 0.000149999
          14   -0.570406     -0.5699 0.000144246
          15    -0.56958   -0.569879 0.000136197
          16   -0.569753   -0.569871 0.000127912
          17   -0.570989   -0.569937 0.000136257
          18   -0.569288     -0.5699  0.00013336
          19   -0.569588   -0.569884 0.000127349
          20   -0.570465   -0.569913 0.000124252
           1   -0.549179   -0.549179           0
           2    -0.55004   -0.549609 0.000304627
           3   -0.549051   -0.549423 0.000253665
           4   -0.548269   -0.549135 0.000314065
           5   -0.549949   -0.549298 0.000290469
           6    -0.54986   -0.549391 0.000256713
           7   -0.550065   -0.549488 0.000237395
           8   -0.549748    -0.54952 0.000209938
           9    -0.54875   -0.549434 0.000203303
          10   -0.549102   -0.549401 0.000185667
          11   -0.549113   -0.549375 0.000170627
          12   -0.550238   -0.549447 0.000170883
          13   -0.549619    -0.54946 0.000158248
          14   -0.549966   -0.549496 0.000151015
          15   -0.549267   -0.549481 0.000141721
          16   -0.550837   -0.549566 0.000156172
          17   -0.548987   -0.549532 0.000150648
          18   -0.549799   -0.549547  0.00014301
          19   -0.548905   -0.549513 0.000139414
          20   -0.549264     -0.5495 0.000132997
           1   -0.529685   -0.529685           0
           2   -0.528842   -0.529263 0.000297732
           3   -0.529856   -0.529461 0.000255804
           4    -0.52976   -0.529536  0.00020244
           5   -0.529754   -0.529579 0.000166583
           6   -0.529584    -0.52958 0.000138822
           7   -0.529476   -0.529565 0.000119778
           8   -0.529813   -0.529596 0.000108745
           9   -0.529612   -0.529598  9.6677e-05
          10   -0.530074   -0.529646 9.80368e-05
          11   -0.530521   -0.529725 0.000117029
          12   -0.530854   -0.529819 0.000140048
          13   -0.528617   -0.529727 0.000156885
          14   -0.530377   -0.529773 0.000152407
