#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           6   0.0659448   0.0671637  0.00102979
           7   0.0700264   0.0675727 0.000960455
           8   0.0721708   0.0681474 0.000997662
           9   0.0721124    0.068588 0.000979261
          10   0.0681568   0.0685449 0.000882284
          11   0.0644292   0.0681707 0.000877833
          12   0.0671568   0.0680862 0.000808736
          13    0.064752   0.0678298 0.000786144
          14   0.0668548   0.0677601 0.000733069
          15     0.06889   0.0678354 0.000688057
          16   0.0675588   0.0678181  0.00064527
          17   0.0685188   0.0678594 0.000608628
          18   0.0658152   0.0677458 0.000585315
          19    0.064732   0.0675872 0.000575601
          20   0.0709696   0.0677563 0.000571126
           1   0.0562228   0.0562228           0
           2   0.0588328   0.0575278 0.000922774
           3    0.059556   0.0582039 0.000826535
           4   0.0579088   0.0581301 0.000623185
           5    0.053762   0.0572565 0.000926887
           6    0.058968   0.0575417 0.000815119
           7   0.0580816   0.0576189 0.000702312
           8   0.0580008   0.0576666 0.000616144
           9    0.061054    0.058043 0.000652593
          10   0.0594012   0.0581788 0.000601302
          11   0.0606332   0.0584019 0.000586577
          12   0.0597884   0.0585175 0.000548957
          13   0.0615232   0.0587487 0.000553282
          14   0.0529384   0.0583337 0.000651068
          15   0.0604812   0.0584768 0.000623206
          16   0.0591624   0.0585197 0.000585727
          17   0.0591124   0.0585545 0.000552309
          18   0.0591728   0.0585889 0.000522692
          19   0.0572204   0.0585169  0.00050012
          20   0.0619044   0.0586862 0.000502978
           1   0.0567144   0.0567144           0
           2   0.0490792   0.0528968  0.00269945
           3   0.0548956   0.0535631  0.00188006
           4   0.0543856   0.0537687  0.00142125
           5   0.0515972   0.0533344  0.00120152
           6   0.0567604   0.0539054  0.00112882
           7   0.0504608   0.0534133  0.00106945
           8   0.0516468   0.0531925 0.000958297
           9   0.0554328   0.0534414 0.000883558
          10   0.0512132   0.0532186 0.000822819
          11   0.0508648   0.0530046 0.000775342
          12   0.0529292   0.0529983 0.000710756
          13    0.049386   0.0527205  0.00070832
          14   0.0511832   0.0526107 0.000666182
          15   0.0570436   0.0529062 0.000684188
          16   0.0537496   0.0529589 0.000643454
          17   0.0509088   0.0528383 0.000616801
          18   0.0495584   0.0526561 0.000608855
          19   0.0516024   0.0526006  0.00057933
          20   0.0492016   0.0524307 0.000574752
           1    0.047724    0.047724           0
           2   0.0475916   0.0476578 4.68105e-05
           3   0.0469304   0.0474153 0.000200418
           4   0.0426224   0.0462171  0.00104853
           5   0.0428672   0.0455471  0.00103089
           6   0.0451484   0.0454807 0.000861211
           7   0.0472776   0.0457374 0.000775496
           8   0.0479432   0.0460131 0.000725924
           9   0.0492264   0.0463701 0.000727789
          10   0.0465228   0.0463854  0.00065517
          11   0.0486908    0.046595 0.000628237
          12      0.0446   0.0464287 0.000597476
          13   0.0427004   0.0461419 0.000616518
          14   0.0430156   0.0459186 0.000611588
          15   0.0458008   0.0459108 0.000570866
          16   0.0477528   0.0460259 0.000546672
          17   0.0455312   0.0459968 0.000515289
          18   0.0452596   0.0459558 0.000488287
          19   0.0482572    0.046077 0.000477374
          20   0.0498196   0.0462641 0.000488809
           1   0.0448876   0.0448876           0
           2   0.0418084    0.043348  0.00108866
           3   0.0426648   0.0431203 0.000749215
           4    0.039252   0.0421532  0.00100854
           5   0.0463532   0.0429932  0.00110248
           6   0.0449388   0.0433175 0.000965243
           7    0.042608   0.0432161 0.000832655
           8   0.0415884   0.0430126 0.000753022
           9   0.0424172   0.0429465 0.000672253
          10   0.0450756   0.0431594 0.000637853
          11   0.0409704   0.0429604  0.00061012
          12   0.0442468   0.0430676 0.000568616
          13   0.0420976    0.042993 0.000529749
          14   0.0429852   0.0429924  0.00049191
          15   0.0424504   0.0429563 0.000460442
          16   0.0471856   0.0432206 0.000501835
          17   0.0412388    0.043104 0.000485667
          18   0.0442036   0.0431651 0.000462511
          19   0.0392444   0.0429588 0.000482009
          20     0.04161   0.0428913 0.000462602
           1   0.0334256   0.0334256           0
           2     0.03732   0.0353728  0.00137688
           3   0.0377372   0.0361609  0.00112102
           4   0.0403752   0.0372145  0.00124072
           5   0.0376476   0.0373011 0.000995594
           6   0.0342928   0.0367997 0.000947538
           7   0.0357412   0.0366485 0.000824154
           8   0.0355492   0.0365111 0.000732501
           9    0.034372   0.0362734 0.000688593
          10   0.0401928   0.0366654  0.00072272
          11   0.0387164   0.0368518 0.000680646
          12   0.0387624    0.037011 0.000642277
          13   0.0373888   0.0370401 0.000593528
          14   0.0375088   0.0370736 0.000552077
          15   0.0360388   0.0370046 0.000519564
          16   0.0393904   0.0371537 0.000508038
          17   0.0387704   0.0372488 0.000486973
          18   0.0365096   0.0372077 0.000461647
          19   0.0400688   0.0373583 0.000461256
          20   0.0399844   0.0374896   0.0004565
           1   0.0295764   0.0295764           0
           2   0.0323028   0.0309396 0.000963928
           3    0.032928   0.0316024 0.000840136
           4    0.036446   0.0328133  0.00122341
           5    0.034338   0.0331182  0.00101602
           6     0.03408   0.0332785 0.000859237
           7    0.032562   0.0331762 0.000742561
           8   0.0354104   0.0334554 0.000700293
           9   0.0338356   0.0334977 0.000623755
          10   0.0363932   0.0337872 0.000624982
          11   0.0319944   0.0336243 0.000589035
          12   0.0341596   0.0336689 0.000541635
          13   0.0363096    0.033872 0.000536712
          14   0.0377948   0.0341522 0.000566818
          15   0.0346424   0.0341849 0.000529971
          16   0.0317344   0.0340317 0.000518506
          17   0.0330964   0.0339767 0.000490916
          18   0.0354212    0.034057 0.000470156
          19   0.0317544   0.0339358 0.000460765
          20    0.035414   0.0340097 0.000443615
           1   0.0309984   0.0309984           0
           2   0.0314996    0.031249 0.000177201
           3   0.0341864   0.0322281  0.00080814
           4   0.0321216   0.0322015 0.000606544
           5   0.0340092    0.032563 0.000583114
           6   0.0300676   0.0321471 0.000616664
           7   0.0341828   0.0324379  0.00059319
           8   0.0301192   0.0321481 0.000585587
           9   0.0333184   0.0322781 0.000534764
          10   0.0282576   0.0318761 0.000614101
          11    0.030228   0.0317263 0.000576261
          12   0.0317128   0.0317251  0.00052824
          13   0.0318244   0.0317328 0.000487661
          14   0.0356796   0.0320147 0.000528066
          15   0.0290256   0.0318154 0.000529126
          16   0.0321392   0.0318356 0.000496443
          17   0.0304384   0.0317535 0.000473995
          18   0.0316996   0.0317505 0.000447672
          19   0.0301804   0.0316678 0.000431669
          20   0.0329604   0.0317325 0.000414896
           1   0.0288404   0.0288404           0
           2   0.0296148   0.0292276 0.000273792
           3   0.0335348   0.0306633   0.0011864
           4   0.0290668   0.0302642 0.000954578
           5   0.0282192   0.0298552 0.000846762
