#   N_BLOCK:  ACCEPTANCE:
           1    0.108551
           2    0.109479
           3      0.1104
           4    0.111318
           5    0.112211
           6    0.113096
           7    0.113966
           8    0.114833
           9    0.115678
          10    0.116515
          11    0.117341
          12    0.118156
          13    0.118955
          14    0.119749
          15    0.120533
          16    0.121298
          17    0.122066
          18    0.122822
          19    0.123564
          20    0.124302
           1    0.125315
           2    0.126224
           3    0.127116
           4    0.128001
           5    0.128874
           6    0.129735
           7     0.13059
           8    0.131431
           9    0.132263
          10     0.13309
          11    0.133908
          12    0.134711
          13    0.135506
          14    0.136296
          15    0.137078
          16    0.137839
          17    0.138597
          18    0.139347
          19    0.140084
          20    0.140813
           1     0.14179
           2    0.142672
           3    0.143545
           4    0.144399
           5    0.145255
           6    0.146095
           7    0.146926
           8    0.147746
           9     0.14856
          10     0.14936
          11    0.150162
          12    0.150948
          13    0.151728
          14    0.152501
          15    0.153268
          16    0.154026
          17    0.154774
          18    0.155522
          19    0.156251
          20    0.156973
           1    0.157916
           2    0.158763
           3      0.1596
           4    0.160431
           5    0.161258
           6    0.162076
           7    0.162887
           8    0.163686
           9    0.164476
          10    0.165265
          11    0.166045
          12    0.166821
          13    0.167585
          14     0.16834
          15    0.169083
          16    0.169825
          17    0.170564
          18    0.171295
          19    0.172018
          20    0.172733
           1     0.17365
           2    0.174472
           3    0.175286
           4     0.17609
           5    0.176889
           6     0.17768
           7    0.178467
           8    0.179246
           9    0.180019
          10     0.18078
          11    0.181536
          12    0.182289
          13    0.183035
          14    0.183773
          15    0.184506
          16    0.185232
          17    0.185952
          18    0.186664
          19    0.187375
          20    0.188074
           1    0.188954
           2    0.189749
           3    0.190532
           4     0.19131
           5    0.192082
           6    0.192846
           7    0.193607
           8    0.194357
           9    0.195104
          10    0.195841
          11    0.196575
          12    0.197305
          13    0.198029
          14    0.198753
          15    0.199467
          16    0.200173
          17    0.200872
          18     0.20157
          19    0.202258
          20    0.202942
           1    0.203785
           2    0.204547
           3      0.2053
           4    0.206048
           5    0.206793
           6    0.207536
           7    0.208271
           8    0.209001
           9    0.209726
          10    0.210447
          11    0.211162
          12    0.211872
          13    0.212574
          14    0.213271
          15    0.213967
          16    0.214652
          17    0.215332
          18    0.216012
          19    0.216687
          20    0.217354
           1    0.218169
           2    0.218903
           3    0.219636
           4     0.22036
           5    0.221079
           6    0.221795
           7    0.222506
           8    0.223213
           9    0.223912
          10    0.224609
          11    0.225299
          12    0.225982
          13    0.226666
          14     0.22734
          15    0.228013
          16     0.22868
          17    0.229342
          18    0.230002
          19    0.230657
          20    0.231307
           1    0.232092
           2    0.232798
           3    0.233504
           4    0.234205
           5    0.234899
           6    0.235587
           7     0.23627
           8     0.23695
           9    0.237629
          10    0.238301
          11     0.23897
          12    0.239632
          13    0.240292
          14    0.240945
          15    0.241597
          16    0.242242
          17    0.242887
          18    0.243526
          19    0.244162
          20    0.244794
           1    0.245551
           2    0.246233
           3    0.246913
           4    0.247588
           5    0.248258
           6    0.248927
           7     0.24959
           8    0.250249
           9    0.250904
          10    0.251555
          11      0.2522
          12    0.252841
          13    0.253482
          14    0.254116
          15    0.254749
          16    0.255376
          17       0.256
          18     0.25662
          19    0.257235
          20    0.257849
           1     0.25858
           2    0.259239
           3    0.259894
           4    0.260544
           5    0.261191
           6    0.261835
           7    0.262476
           8    0.263112
           9    0.263745
          10    0.264373
          11    0.264999
          12    0.265617
          13    0.266236
          14    0.266851
          15    0.267461
          16     0.26807
          17    0.268675
          18    0.269277
          19    0.269876
          20     0.27047
           1    0.271173
           2    0.271807
           3    0.272437
           4    0.273065
           5     0.27369
           6    0.274312
           7     0.27493
           8    0.275546
           9    0.276156
          10    0.276764
          11    0.277369
          12    0.277971
          13    0.278568
          14    0.279162
          15    0.279753
          16    0.280343
          17    0.280928
          18    0.281513
          19     0.28209
          20    0.282667
           1    0.283345
           2    0.283955
           3    0.284563
           4    0.285167
           5     0.28577
           6    0.286368
           7    0.286965
           8    0.287559
           9    0.288151
          10    0.288737
          11    0.289323
          12    0.289905
          13    0.290485
          14     0.29106
          15    0.291634
          16    0.292204
          17    0.292771
          18    0.293333
          19    0.293895
          20    0.294454
           1    0.295107
           2    0.295697
           3    0.296285
           4    0.296869
           5    0.297452
           6    0.298032
           7    0.298608
           8    0.299179
           9    0.299748
          10    0.300314
          11    0.300878
          12    0.301441
          13       0.302
          14    0.302557
          15    0.303112
          16    0.303664
          17    0.304213
          18    0.304759
          19    0.305303
          20    0.305845
