T:   H:   H_ERR:   MU:   SIGMA:
     0.24421   -0.218773  0.00431483    0.892297    0.493484
    0.240546   -0.239668  0.00350944    0.891998     0.49913
    0.236938   -0.239668  0.00350944    0.891998     0.49913
    0.233384   -0.368558  0.00229715     0.91873    0.569423
    0.229883   -0.331577  0.00190086    0.899241    0.531632
    0.226435   -0.431063  0.00199865    0.852751    0.602216
    0.223039   -0.387868  0.00173197     0.87384    0.556999
    0.219693    -0.44216  0.00191025    0.817488    0.621512
    0.216398    -0.44216  0.00191025    0.817488    0.621512
    0.213152   -0.423349  0.00250951    0.757414    0.668366
    0.209954   -0.430146  0.00203603    0.770505    0.662682
    0.206805   -0.440566  0.00179821    0.833187    0.602114
    0.203703   -0.354726  0.00354983    0.838756     0.52672
    0.200647   -0.354726  0.00354983    0.838756     0.52672
    0.197638   -0.354726  0.00354983    0.838756     0.52672
    0.194673   -0.439182  0.00215073    0.820528    0.605979
    0.191753   -0.416013  0.00300254    0.830441     0.67783
    0.188877   -0.357109  0.00408295     0.84724    0.728662
    0.186044   -0.363904  0.00609761    0.902575    0.678295
    0.183253   -0.363904  0.00609761    0.902575    0.678295
    0.180504   -0.363904  0.00609761    0.902575    0.678295
    0.177797   -0.435521   0.0025772      0.8296    0.642466
     0.17513   -0.435521   0.0025772      0.8296    0.642466
    0.172503   -0.426331  0.00203761    0.808519     0.57082
    0.169915   -0.426331  0.00203761    0.808519     0.57082
    0.167366   -0.436984  0.00196426    0.824118    0.639236
    0.164856   -0.399895  0.00323774    0.872236    0.668652
    0.162383   -0.286999   0.0075963    0.948948    0.696698
    0.159947   -0.297248  0.00234796    0.982779    0.629586
    0.157548   -0.297248  0.00234796    0.982779    0.629586
    0.155185    -0.25376  0.00269097      1.0029    0.556883
    0.152857    -0.25376  0.00269097      1.0029    0.556883
    0.150564    -0.24584  0.00269953     1.02104    0.594526
    0.148306    -0.24584  0.00269953     1.02104    0.594526
    0.146081   -0.100433  0.00663843     1.08118    0.611526
     0.14389   -0.100433  0.00663843     1.08118    0.611526
    0.141732   -0.273315   0.0039657     1.00288    0.609888
    0.139606   -0.298638  0.00273808    0.945142    0.539081
    0.137512   -0.277714  0.00232553    0.941841    0.525734
    0.135449   -0.305712  0.00313959    0.979247     0.58939
