#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
           6        1.95 0.000733333 2.07846e-07
           7       -1.95  0.00148571 2.12751e-07
           7       -1.85  0.00212857 3.79686e-07
           7       -1.75      0.0031  3.7276e-07
           7       -1.65  0.00584286 2.28028e-07
           7       -1.55      0.0084 4.69156e-07
           7       -1.45   0.0117429 6.78108e-07
           7       -1.35   0.0181714 2.75901e-07
           7       -1.25   0.0218143 1.08431e-06
           7       -1.15   0.0297714 8.76826e-07
           7       -1.05   0.0349286 1.48066e-06
           7       -0.95   0.0399429 1.55164e-06
           7       -0.85   0.0400857 1.11469e-06
           7       -0.75   0.0421714 2.19939e-06
           7       -0.65   0.0408143 9.94185e-07
           7       -0.55      0.0401 1.03292e-06
           7       -0.45   0.0375286 1.13965e-06
           7       -0.35   0.0326429  1.1777e-06
           7       -0.25   0.0304286 1.18876e-06
           7       -0.15   0.0300714  1.4401e-06
           7       -0.05   0.0281571 1.03981e-06
           7        0.05      0.0281 1.25555e-06
           7        0.15   0.0301714 1.23808e-06
           7        0.25   0.0315143 1.11469e-06
           7        0.35   0.0344857 1.12165e-06
           7        0.45   0.0363571  4.7517e-07
           7        0.55   0.0380714 1.42148e-06
           7        0.65   0.0411857 1.41508e-06
           7        0.75   0.0449571 1.18343e-06
           7        0.85      0.0419 1.37461e-06
           7        0.95   0.0398286 1.01888e-06
           7        1.05   0.0339571 8.20097e-07
           7        1.15      0.0269 1.07492e-06
           7        1.25   0.0225571 9.31045e-07
           7        1.35   0.0179857  1.1273e-06
           7        1.45   0.0121714 6.87072e-07
           7        1.55  0.00792857  3.0551e-07
           7        1.65  0.00527143 5.82465e-07
           7        1.75  0.00324286 2.16975e-07
           7        1.85  0.00174286 3.07611e-07
           7        1.95 0.000785714 1.84921e-07
           8       -1.95   0.0014375 1.91373e-07
           8       -1.85   0.0021625  3.3341e-07
           8       -1.75   0.0034125 4.37959e-07
           8       -1.65      0.0058 2.03325e-07
           8       -1.55    0.008475 4.16071e-07
           8       -1.45   0.0118625 6.03246e-07
           8       -1.35   0.0182125 2.44219e-07
           8       -1.25      0.0215 9.92461e-07
           8       -1.15    0.029575 7.88218e-07
           8       -1.05     0.03475 1.30504e-06
           8       -0.95   0.0403125  1.3998e-06
           8       -0.85    0.039725 1.03127e-06
           8       -0.75   0.0417125 1.96999e-06
           8       -0.65   0.0413375 9.97644e-07
           8       -0.55   0.0403625 9.35765e-07
           8       -0.45     0.03675 1.23449e-06
           8       -0.35    0.032825 1.04349e-06
           8       -0.25   0.0307375 1.07865e-06
           8       -0.15   0.0299125 1.26759e-06
           8       -0.05   0.0286125 1.00398e-06
           8        0.05      0.0278 1.13289e-06
           8        0.15   0.0301875 1.08234e-06
           8        0.25     0.03155  9.7495e-07
           8        0.35   0.0343625  9.8723e-07
           8        0.45    0.037625 1.25784e-06
           8        0.55    0.037975 1.24583e-06
           8        0.65    0.040375 1.45135e-06
           8        0.75   0.0447625  1.0504e-06
           8        0.85   0.0416125 1.23137e-06
           8        0.95     0.03905 1.15099e-06
           8        1.05     0.03455 9.06708e-07
           8        1.15   0.0266625 9.65579e-07
           8        1.25    0.022775 8.39029e-07
           8        1.35      0.0182 1.00563e-06
           8        1.45   0.0119625 6.31651e-07
           8        1.55    0.008325 4.57309e-07
           8        1.65   0.0053625  5.1624e-07
           8        1.75   0.0032375 1.89729e-07
           8        1.85    0.001825 2.79676e-07
           8        1.95    0.000825 1.65778e-07
